"rbd";"agno";"id_indicador";"prom";"dif";"mdif";"sigdif";"difgru";"mdifgru";"sigdifgru";"nom_rbd";"cod_reg_rbd";"nom_reg_rbd";"cod_pro_rbd";"nom_pro_rbd";"cod_com_rbd";"nom_com_rbd";"nom_deprov_rbd";"cod_depe2";"cod_grupo";"cod_rural_rbd";"codigo_bbdd";"fecha_bbdd";"grado"
1;2025;1;70;-4;;0;-4;;0;LICEO POLITECNICO ARICA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;1;1;v12025;20260423;2m
1;2025;2;70;-5;;-1;-5;;-1;LICEO POLITECNICO ARICA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;1;1;v12025;20260423;2m
1;2025;3;73;-6;;-1;-4;;0;LICEO POLITECNICO ARICA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;1;1;v12025;20260423;2m
1;2025;4;71;-3;;0;-1;;0;LICEO POLITECNICO ARICA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;1;1;v12025;20260423;2m
4;2025;1;74;0;;0;1;;0;LICEO OCTAVIO PALMA PEREZ;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;3;1;v12025;20260423;2m
4;2025;2;75;1;;0;0;;0;LICEO OCTAVIO PALMA PEREZ;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;3;1;v12025;20260423;2m
4;2025;3;76;1;;0;0;;0;LICEO OCTAVIO PALMA PEREZ;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;3;1;v12025;20260423;2m
4;2025;4;68;-2;;0;-1;;0;LICEO OCTAVIO PALMA PEREZ;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;3;1;v12025;20260423;2m
5;2025;1;72;1;;0;-1;;0;JOVINA NARANJO FERNANDEZ;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;3;1;v12025;20260423;2m
5;2025;2;73;0;;0;-2;;0;JOVINA NARANJO FERNANDEZ;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;3;1;v12025;20260423;2m
