"rbd";"agno";"id_indicador";"prom";"dif";"mdif";"sigdif";"difgru";"mdifgru";"sigdifgru";"nom_rbd";"cod_reg_rbd";"nom_reg_rbd";"cod_pro_rbd";"nom_pro_rbd";"cod_com_rbd";"nom_com_rbd";"nom_deprov_rbd";"cod_depe2";"cod_grupo";"cod_rural_rbd";"codigo_bbdd";"fecha_bbdd";"grado"
5;2025;1;77;2;;0;5;;1;JOVINA NARANJO FERNANDEZ;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;4;1;v12025;20260423;4b
5;2025;2;79;5;;1;5;;1;JOVINA NARANJO FERNANDEZ;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;4;1;v12025;20260423;4b
5;2025;3;83;5;;1;7;;1;JOVINA NARANJO FERNANDEZ;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;4;1;v12025;20260423;4b
5;2025;4;75;9;;1;5;;1;JOVINA NARANJO FERNANDEZ;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;4;1;v12025;20260423;4b
8;2025;1;84;8;;1;8;;1;COLEGIO EDUARDO FREI MONTALVA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;2;1;v12025;20260423;4b
8;2025;2;84;8;;1;8;;1;COLEGIO EDUARDO FREI MONTALVA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;2;1;v12025;20260423;4b
8;2025;3;88;10;;1;9;;1;COLEGIO EDUARDO FREI MONTALVA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;2;1;v12025;20260423;4b
8;2025;4;77;2;;0;6;;1;COLEGIO EDUARDO FREI MONTALVA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;2;1;v12025;20260423;4b
9;2025;1;72;-5;;-1;0;;0;ESCUELA REPUBLICA DE ISRAEL;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;4;1;v12025;20260423;4b
9;2025;2;74;-3;;0;0;;0;ESCUELA REPUBLICA DE ISRAEL;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;4;1;v12025;20260423;4b
9;2025;3;75;-6;;-1;-1;;0;ESCUELA REPUBLICA DE ISRAEL;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;4;1;v12025;20260423;4b
9;2025;4;68;-7;;-1;-2;;0;ESCUELA REPUBLICA DE ISRAEL;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;4;1;v12025;20260423;4b
10;2025;1;77;-6;;-1;3;;0;ESCUELA REPUBLICA DE FRANCIA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;3;1;v12025;20260423;4b
10;2025;2;75;-3;;0;0;;0;ESCUELA REPUBLICA DE FRANCIA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;3;1;v12025;20260423;4b
10;2025;3;78;-9;;-1;1;;0;ESCUELA REPUBLICA DE FRANCIA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;3;1;v12025;20260423;4b
