rbd;dvrbd;nom_rbd;cod_reg_rbd;nom_reg_rbd;cod_pro_rbd;nom_pro_rbd;cod_com_rbd;nom_com_rbd;cod_deprov_rbd;nom_deprov_rbd;cod_depe1;cod_depe2;cod_grupo;cod_rural_rbd;nalu_lect2m_rbd;nalu_mate2m_rbd;prom_lect2m_rbd;prom_mate2m_rbd;dif_lect2m_rbd;dif_mate2m_rbd;difgru_lect2m_rbd;difgru_mate2m_rbd;sigdif_lect2m_rbd;sigdif_mate2m_rbd;siggru_lect2m_rbd;siggru_mate2m_rbd;marca_lect2m_rbd;marca_mate2m_rbd;marcadif_lect2m_rbd;marcadif_mate2m_rbd;palu_eda_ins_lect2m_rbd;palu_eda_ele_lect2m_rbd;palu_eda_ade_lect2m_rbd;palu_eda_ins_mate2m_rbd;palu_eda_ele_mate2m_rbd;palu_eda_ade_mate2m_rbd;noaplica;codigo_bbdd;fecha_bbdd;grado;agno
7826;3;COLEGIO SAN MIGUEL;10;DE LOS LAGOS;101;LLANQUIHUE;10102;CALBUCO;101;Llanquihue;3;2;3;1;104;100;237;249;-2;9;-19;-18;0;0;-1;-1;;;;;53.8;33.7;12.5;59;29;12;0;v12025;20260427;2m;2025
6830;6;COLEGIO NUESTRA SENORA DEL CARMEN;14;DE LOS RÍOS;141;VALDIVIA;14101;VALDIVIA;141;Valdivia;3;2;3;1;72;69;260;264;7;24;4;-3;0;1;0;0;;;;;33.3;43.1;23.6;42;36.2;21.7;0;v12025;20260427;2m;2025
40126;9;COLEGIO RAUL SILVA HENRIQUEZ;4;DE COQUIMBO;43;LIMARÍ;4301;OVALLE;42;Limari;2;1;1;1;85;80;238;231;5;-2;10;-2;0;0;1;0;;;;;55.3;41.2;3.5;62.5;35;2.5;0;v12025;20260427;2m;2025
14324;3;COLEGIO WILLIAM JAMES;5;DE VALPARAÍSO;51;VALPARAÍSO;5109;VIÑA DEL MAR;53;Valparaiso - Isla de Pascua;4;3;4;1;16;18;238;233;;-28;-32;-56;;0;-1;-1;;;1;;62.5;25;12.5;72.2;27.8;0;0;v12025;20260427;2m;2025
18237;0;COLEGIO AMANECER SAN CARLOS;8;DEL BIOBÍO;81;CONCEPCIÓN;8108;SAN PEDRO DE LA PAZ;83;Concepcion;3;2;3;1;61;63;257;266;12;-1;1;-1;1;0;0;0;;;;;47.5;29.5;23;46;30.2;23.8;0;v12025;20260427;2m;2025
6853;5;LICEO POLITECNICO PESQUERO;14;DE LOS RÍOS;141;VALDIVIA;14106;MARIQUINA;141;Valdivia;6;4;1;2;14;16;214;210;4;-3;-14;-23;0;0;-1;-1;;;;;85.7;7.1;7.1;87.5;12.5;0;0;v12025;20260427;2m;2025
26372;2;COLEGIO SAN LUCAS DE LO ESPEJO;13;METROPOLITANA DE SANTIAGO;131;SANTIAGO;13116;LO ESPEJO;132;Sur;3;2;1;1;54;52;221;259;-31;0;-7;26;-1;0;-1;1;;;;;75.9;14.8;9.3;48.1;34.6;17.3;0;v12025;20260427;2m;2025
9060;3;LICEO POLITECNICO PEDRO DE VALDIVIA;13;METROPOLITANA DE SANTIAGO;131;SANTIAGO;13120;ÑUÑOA;133;Oriente;5;2;3;1;124;125;247;262;7;4;-9;-5;0;0;-1;0;;;;;48.4;36.3;15.3;44.8;36.8;18.4;0;v12025;20260427;2m;2025
31327;0;COLEGIO ALICANTE DEL VALLE;13;METROPOLITANA DE SANTIAGO;132;CORDILLERA;13201;PUENTE ALTO;136;Cordillera;3;2;4;1;213;206;293;330;13;38;23;41;1;1;1;1;;;;;16.4;28.2;55.4;12.6;29.1;58.3;0;v12025;20260427;2m;2025
12117;7;COMPLEJO EDUCACIONAL J. MIGUEL CARRERA;13;METROPOLITANA DE SANTIAGO;131;SANTIAGO;13125;QUILICURA;137;Norte;6;4;2;1;128;131;224;234;0;12;-16;-13;0;0;-1;-1;;;;;70.3;15.6;14.1;65.6;28.2;6.1;0;v12025;20260427;2m;2025
13445;7;COLEGIO ESPANOL;4;DE COQUIMBO;41;ELQUI;4102;COQUIMBO;41;Elqui;3;2;3;1;31;26;219;226;-15;5;-37;-41;-1;0;-1;-1;;;;;77.4;16.1;6.5;73.1;23.1;3.8;0;v12025;20260427;2m;2025
22436;7;THE MISSION COLLEGE;10;DE LOS LAGOS;103;OSORNO;10301;OSORNO;103;Osorno;3;2;1;1;99;103;234;240;-4;-1;6;7;0;0;1;0;;;;;58.6;23.2;18.2;65;27.2;7.8;0;v12025;20260427;2m;2025
12781;7;AMAZING GRACE ENGLISH SCHOOL;4;DE COQUIMBO;41;ELQUI;4101;LA SERENA;41;Elqui;4;3;5;1;34;31;292;336;1;38;4;7;0;1;0;0;;;;;5.9;52.9;41.2;6.5;29;64.5;0;v12025;20260427;2m;2025
6452;1;LICEO REINO DE SUECIA;9;DE LA ARAUCANÍA;91;CAUTÍN;9116;SAAVEDRA;92;Cautin Norte;6;4;1;1;40;39;202;218;10;12;-26;-15;0;0;-1;-1;;;;;90;2.5;7.5;76.9;20.5;2.6;0;v12025;20260427;2m;2025
17859;4;COLEGIO ALMONDALE;8;DEL BIOBÍO;81;CONCEPCIÓN;8108;SAN PEDRO DE LA PAZ;83;Concepcion;3;2;5;1;76;77;300;351;7;7;12;22;0;0;1;1;;;;;19.7;19.7;60.5;3.9;19.5;76.6;0;v12025;20260427;2m;2025
6120;4;COLEGIO ALBERTO HURTADO;9;DE LA ARAUCANÍA;91;CAUTÍN;9120;VILLARRICA;93;Cautin Sur;3;2;2;1;94;96;258;296;-4;41;18;49;0;1;1;1;;;;;40.4;30.9;28.7;21.9;38.5;39.6;0;v12025;20260427;2m;2025
69;8;JUNIOR COLLEGE;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;151;Arica;4;3;5;1;64;67;302;360;0;-5;14;31;0;0;1;1;;;;;6.3;28.1;65.6;1.5;16.4;82.1;0;v12025;20260427;2m;2025
22459;6;COLEGIO LAICO VALDIVIA;14;DE LOS RÍOS;141;VALDIVIA;14101;VALDIVIA;141;Valdivia;3;2;4;1;31;28;267;249;11;14;-3;-40;0;0;0;-1;;;;;41.9;29;29;57.1;32.1;10.7;0;v12025;20260427;2m;2025
12094;4;COLEGIO SAN ESTEBAN DIÁCONO;13;METROPOLITANA DE SANTIAGO;131;SANTIAGO;13132;VITACURA;133;Oriente;4;3;5;1;53;52;269;294;6;-13;-19;-35;0;0;-1;-1;;;;;32.1;30.2;37.7;23.1;40.4;36.5;0;v12025;20260427;2m;2025
11430;8;COLEGIO TERESIANO PADRE ENRIQUE;8;DEL BIOBÍO;83;BIOBÍO;8306;NACIMIENTO;82;Bio Bio;3;2;3;1;77;76;281;298;17;28;25;31;1;1;1;1;;;;;28.6;35.1;36.4;18.4;52.6;28.9;0;v12025;20260427;2m;2025
16508;5;COLEGIO HISPANOCHILENO EL PILAR;7;DEL MAULE;73;CURICÓ;7301;CURICÓ;71;Curico;3;2;4;1;96;95;262;306;11;5;-8;17;1;0;-1;1;;;;;40.6;26;33.3;21.1;31.6;47.4;0;v12025;20260427;2m;2025
1397;8;ESCUELA PARTICULAR INDUSTRIAL E. BERTE;5;DE VALPARAÍSO;55;QUILLOTA;5501;QUILLOTA;51;Quillota - Petorca;3;2;2;1;166;159;230;250;1;0;-10;3;0;0;-1;0;;;;;63.9;23.5;12.7;56.6;27.7;15.7;0;v12025;20260427;2m;2025
1520;2;LICEO BICENTENARIO MARITIMO DE VALPARA;5;DE VALPARAÍSO;51;VALPARAÍSO;5101;VALPARAÍSO;53;Valparaiso - Isla de Pascua;6;4;3;1;86;89;241;254;4;-2;-15;-13;0;0;-1;-1;;;;;52.3;30.2;17.4;49.4;37.1;13.5;0;v12025;20260427;2m;2025
40295;8;COLEGIO MAHATMA GANDHI;1;DE TARAPACÁ;11;IQUIQUE;1101;IQUIQUE;11;Iquique;3;2;3;1;62;62;247;247;8;-3;-9;-20;0;0;-1;-1;;;;;48.4;25.8;25.8;48.4;40.3;11.3;0;v12025;20260427;2m;2025
10906;1;COLEGIO FORD COLLEGE;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;151;Arica;3;2;4;1;37;36;276;283;-8;-13;6;-6;0;0;1;0;;;;;24.3;40.5;35.1;36.1;33.3;30.6;0;v12025;20260427;2m;2025
13491;0;COLEGIO ALTAZOR;4;DE COQUIMBO;41;ELQUI;4102;COQUIMBO;41;Elqui;3;2;2;1;62;63;211;221;-26;-6;-29;-26;-1;0;-1;-1;;;;;82.3;14.5;3.2;81;12.7;6.3;0;v12025;20260427;2m;2025
8914;1;COLEGIO WILLIAM KILPATRICK;13;METROPOLITANA DE SANTIAGO;131;SANTIAGO;13114;LAS CONDES;133;Oriente;4;3;5;1;10;13;257;316;-29;-31;-31;-13;-1;-1;-1;0;;;;;30;50;20;15.4;23.1;61.5;0;v12025;20260427;2m;2025
8991;5;COLEGIO PADRE HURTADO Y JUANITA DE LOS;13;METROPOLITANA DE SANTIAGO;131;SANTIAGO;13114;LAS CONDES;133;Oriente;4;3;5;1;86;92;303;364;5;16;15;35;0;1;1;1;;;;;9.3;27.9;62.8;3.3;8.7;88;0;v12025;20260427;2m;2025
16485;2;COLEGIO GARDEN COLLEGE;7;DEL MAULE;72;CAUQUENES;7201;CAUQUENES;74;Cauquenes;3;2;3;1;43;40;267;306;11;26;11;39;0;1;1;1;;;;;37.2;32.6;30.2;17.5;37.5;45;0;v12025;20260427;2m;2025
