rbd;dvrbd;nom_rbd;cod_reg_rbd;nom_reg_rbd;cod_pro_rbd;nom_pro_rbd;cod_com_rbd;nom_com_rbd;cod_deprov_rbd;nom_deprov_rbd;cod_depe1;cod_depe2;cod_grupo;cod_rural_rbd;nalu_lect4b_rbd;nalu_mate4b_rbd;prom_lect4b_rbd;prom_mate4b_rbd;dif_lect4b_rbd;dif_mate4b_rbd;difgru_lect4b_rbd;difgru_mate4b_rbd;sigdif_lect4b_rbd;sigdif_mate4b_rbd;siggru_lect4b_rbd;siggru_mate4b_rbd;marca_lect4b_rbd;marca_mate4b_rbd;marcadif_lect4b_rbd;marcadif_mate4b_rbd;palu_eda_ins_lect4b_rbd;palu_eda_ele_lect4b_rbd;palu_eda_ade_lect4b_rbd;palu_eda_ins_mate4b_rbd;palu_eda_ele_mate4b_rbd;palu_eda_ade_mate4b_rbd;noaplica;codigo_bbdd;fecha_bbdd;grado;agno
7826;3;COLEGIO SAN MIGUEL;10;DE LOS LAGOS;101;LLANQUIHUE;10102;CALBUCO;101;Llanquihue;3;2;3;1;66;65;281;263;3;-11;5;3;0;-1;1;0;;;;;27.3;16.7;56.1;30.8;46.2;23.1;0;v12025;20260427;4b;2025
11407;3;ESCUELA BASICA LOS OLIVOS;16;DE ÑUBLE;162;ITATA;16206;RÁNQUIL;161;Diguillín;2;1;1;2;3;3;274;221;;;;;;;;;;;2;2;;;;;;;0;v12025;20260427;4b;2025
10743;3;INSTITUTO SAN FRANCISCO;13;METROPOLITANA DE SANTIAGO;136;TALAGANTE;13602;EL MONTE;135;Talagante;3;2;2;1;26;25;256;220;12;-7;-11;-32;0;0;-1;-1;;;;;34.6;38.5;26.9;68;28;4;0;v12025;20260427;4b;2025
2917;3;ESCUELA RAUCO;7;DEL MAULE;73;CURICÓ;7305;RAUCO;71;Curico;2;1;2;1;18;17;263;243;15;9;-4;-9;0;0;0;-1;;;;;50;16.7;33.3;52.9;29.4;17.6;0;v12025;20260427;4b;2025
14324;3;COLEGIO WILLIAM JAMES;5;DE VALPARAÍSO;51;VALPARAÍSO;5109;VIÑA DEL MAR;53;Valparaiso - Isla de Pascua;4;3;5;1;5;6;283;246;;0;;-46;;0;;-1;;;2;;;;;;;;0;v12025;20260427;4b;2025
8513;8;ESC. BAS. REPUBLICA ORIENTAL DE URUGUAY;13;METROPOLITANA DE SANTIAGO;131;SANTIAGO;13101;SANTIAGO;131;Centro;2;1;3;1;59;61;263;234;2;-4;-13;-26;0;0;-1;-1;;;;;35.6;25.4;39;60.7;32.8;6.6;0;v12025;20260427;4b;2025
687;4;ESCUELA DE HUANTA;4;DE COQUIMBO;41;ELQUI;4106;VICUÑA;41;Elqui;6;4;1;2;1;1;;;;;;;;;;;1;1;1;1;;;;;;;0;v12025;20260427;4b;2025
7185;4;ESCUELA PARTICULAR LOS AVELLANOS;14;DE LOS RÍOS;142;DEL RANCO;14201;LA UNIÓN;142;Ranco;3;2;;2;0;0;;;;;;;;;;;;;;;;;;;;;1;v12025;20260427;4b;2025
26372;2;COLEGIO SAN LUCAS DE LO ESPEJO;13;METROPOLITANA DE SANTIAGO;131;SANTIAGO;13116;LO ESPEJO;132;Sur;3;2;2;1;59;58;257;264;-20;-2;-10;12;-1;0;-1;1;;;;;37.3;35.6;27.1;29.3;48.3;22.4;0;v12025;20260427;4b;2025
6521;8;ESCUELA BASICA CAMARONES;9;DE LA ARAUCANÍA;91;CAUTÍN;9102;CARAHUE;92;Cautin Norte;6;4;1;2;1;1;;;;;;;;;;;1;1;1;1;;;;;;;0;v12025;20260427;4b;2025
2894;0;ESCUELA AMELIA VIAL DE CONCHA;7;DEL MAULE;73;CURICÓ;7302;HUALAÑÉ;71;Curico;2;1;3;2;17;17;320;283;44;16;44;23;1;0;1;1;;;;;0;11.8;88.2;11.8;41.2;47.1;0;v12025;20260427;4b;2025
31327;0;COLEGIO ALICANTE DEL VALLE;13;METROPOLITANA DE SANTIAGO;132;CORDILLERA;13201;PUENTE ALTO;136;Cordillera;3;2;4;1;193;194;297;300;-4;-2;13;30;0;0;1;1;;;;;14;21.8;64.2;7.7;32;60.3;0;v12025;20260427;4b;2025
879;6;ESCUELA BASICA BENJAMIN VICUNA MACKENNA;4;DE COQUIMBO;43;LIMARÍ;4302;COMBARBALÁ;42;Limari;2;1;3;2;1;1;;;;;;;;;;;1;1;1;1;;;;;;;0;v12025;20260427;4b;2025
