rbd;dvrbd;nom_rbd;cod_reg_rbd;nom_reg_rbd;cod_pro_rbd;nom_pro_rbd;cod_com_rbd;nom_com_rbd;cod_deprov_rbd;nom_deprov_rbd;cod_depe1;cod_depe2;cod_grupo;cod_rural_rbd;nalu_lect8b_rbd;nalu_mate8b_rbd;nalu_hist8b_rbd;prom_lect8b_rbd;prom_mate8b_rbd;prom_hist8b_rbd;dif_lect8b_rbd;dif_mate8b_rbd;dif_hist8b_rbd;difgru_lect8b_rbd;difgru_mate8b_rbd;difgru_hist8b_rbd;sigdif_lect8b_rbd;sigdif_mate8b_rbd;sigdif_hist8b_rbd;siggru_lect8b_rbd;siggru_mate8b_rbd;siggru_hist8b_rbd;marca_lect8b_rbd;marca_mate8b_rbd;marca_hist8b_rbd;marcadif_lect8b_rbd;marcadif_mate8b_rbd;marcadif_hist8b_rbd;palu_eda_ins_lect8b_rbd;palu_eda_ele_lect8b_rbd;palu_eda_ade_lect8b_rbd;palu_eda_ins_mate8b_rbd;palu_eda_ele_mate8b_rbd;palu_eda_ade_mate8b_rbd;noaplica;codigo_bbdd;fecha_bbdd;grado;agno
7826;3;COLEGIO SAN MIGUEL;10;DE LOS LAGOS;101;LLANQUIHUE;10102;CALBUCO;101;Llanquihue;3;2;3;1;71;72;70;235;259;245;-13;-16;-12;-2;3;-3;-1;-1;0;0;0;0;;;;;;;46.5;36.6;16.9;37.5;47.2;15.3;0;v12025;20260427;8b;2025
10743;3;INSTITUTO SAN FRANCISCO;13;METROPOLITANA DE SANTIAGO;136;TALAGANTE;13602;EL MONTE;135;Talagante;3;2;2;1;23;23;23;237;247;249;4;15;9;12;5;13;0;0;0;1;0;1;;;;;;;43.5;43.5;13;47.8;47.8;4.3;0;v12025;20260427;8b;2025
14324;3;COLEGIO WILLIAM JAMES;5;DE VALPARAÍSO;51;VALPARAÍSO;5109;VIÑA DEL MAR;53;Valparaiso - Isla de Pascua;4;3;5;1;6;7;6;260;283;279;;;;-14;-22;-10;;;;0;-1;0;;;;2;2;2;;;;;;;0;v12025;20260427;8b;2025
2917;3;ESCUELA RAUCO;7;DEL MAULE;73;CURICÓ;7305;RAUCO;71;Curico;2;1;2;1;23;23;24;254;275;250;28;30;11;29;33;14;1;1;0;1;1;1;;;;;;;21.7;60.9;17.4;26.1;52.2;21.7;0;v12025;20260427;8b;2025
8513;8;ESC. BAS. REPUBLICA ORIENTAL DE URUGUAY;13;METROPOLITANA DE SANTIAGO;131;SANTIAGO;13101;SANTIAGO;131;Centro;2;1;4;1;62;62;62;218;238;232;-25;-13;-7;-32;-35;-30;-1;-1;0;-1;-1;-1;;;;;;;61.3;30.6;8.1;61.3;30.6;8.1;0;v12025;20260427;8b;2025
26372;2;COLEGIO SAN LUCAS DE LO ESPEJO;13;METROPOLITANA DE SANTIAGO;131;SANTIAGO;13116;LO ESPEJO;132;Sur;3;2;2;1;60;58;58;212;239;221;-39;-29;-29;-13;-3;-15;-1;-1;-1;-1;0;-1;;;;;;;68.3;26.7;5;58.6;32.8;8.6;0;v12025;20260427;8b;2025
2894;0;ESCUELA AMELIA VIAL DE CONCHA;7;DEL MAULE;73;CURICÓ;7302;HUALAÑÉ;71;Curico;2;1;2;2;26;26;25;257;271;266;-10;-10;-6;32;29;30;0;0;0;1;1;1;;;;;;;23.1;46.2;30.8;26.9;53.8;19.2;0;v12025;20260427;8b;2025
31327;0;COLEGIO ALICANTE DEL VALLE;13;METROPOLITANA DE SANTIAGO;132;CORDILLERA;13201;PUENTE ALTO;136;Cordillera;3;2;4;1;180;184;180;260;314;272;11;10;5;10;41;10;1;1;0;1;1;1;;;;;;;26.7;42.2;31.1;6;32.1;62;0;v12025;20260427;8b;2025
12781;7;AMAZING GRACE ENGLISH SCHOOL;4;DE COQUIMBO;41;ELQUI;4101;LA SERENA;41;Elqui;4;3;5;1;32;32;32;296;317;304;20;9;12;22;12;15;1;0;0;1;1;1;;;;;;;0;46.9;53.1;9.4;18.8;71.9;0;v12025;20260427;8b;2025
710;2;ESCUELA BASICA JOSE TOMAS OVALLE B.;4;DE COQUIMBO;43;LIMARÍ;4301;OVALLE;42;Limari;2;1;1;1;29;29;29;203;240;223;1;17;11;-15;6;-8;0;0;0;-1;0;0;;;;;;;79.3;17.2;3.4;48.3;51.7;0;0;v12025;20260427;8b;2025
6452;1;LICEO REINO DE SUECIA;9;DE LA ARAUCANÍA;91;CAUTÍN;9116;SAAVEDRA;92;Cautin Norte;6;4;1;1;21;21;21;211;213;230;-19;-4;-7;-7;-21;-1;-1;0;0;0;-1;0;;;;;;;61.9;28.6;9.5;90.5;9.5;0;0;v12025;20260427;8b;2025
17690;7;COLEGIO BEATO DAMIÁN DE MOLOKAI;8;DEL BIOBÍO;83;BIOBÍO;8301;LOS ÁNGELES;82;Bio Bio;3;2;3;1;17;20;17;244;255;250;0;-20;-1;7;-1;2;0;-1;0;0;0;0;;;;;;;47.1;17.6;35.3;35;50;15;0;v12025;20260427;8b;2025
17859;4;COLEGIO ALMONDALE;8;DEL BIOBÍO;81;CONCEPCIÓN;8108;SAN PEDRO DE LA PAZ;83;Concepcion;3;2;5;1;101;102;101;281;323;292;25;18;21;7;18;3;1;1;1;1;1;0;;;;;;;11.9;44.6;43.6;2;31.4;66.7;0;v12025;20260427;8b;2025
1543;1;ESCUELA JORGE ALESSANDRI RODRIGUEZ;5;DE VALPARAÍSO;51;VALPARAÍSO;5101;VALPARAÍSO;53;Valparaiso - Isla de Pascua;6;4;2;1;19;20;19;187;205;198;-50;-38;-43;-38;-37;-38;-1;-1;-1;-1;-1;-1;;;;;;;94.7;5.3;0;90;10;0;0;v12025;20260427;8b;2025
2207;1;ESCUELA HERNAN OLGUIN MAYBE;6;DEL LIBERTADOR BERNARDO OHIGGINS;61;CACHAPOAL;6106;GRANEROS;61;Cachapoal;2;1;2;1;43;45;43;235;249;237;39;39;30;10;7;1;1;1;1;1;0;0;;;;;;;44.2;44.2;11.6;48.9;37.8;13.3;0;v12025;20260427;8b;2025
